"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x3959357353","x1439960960245010436",2021-09-20 14:33:40,"onoforpono","hogless","Twitter for iPhone",7,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/onoforpono/status/1439960960245010436","pono ♥","Oregon, Earth, USA, Local Fluff, Local Bubble,
Orion–Cygnus Arm, Milky Way, Universe","Daniel Pono Takamori (he/him); ♥💐🌷🏵🌹🌺🌻💻🍄🍆🍙🥚🥒🍳","https://t.co/i4BdIc9SvZ",FALSE,276,3815,9,931,7047,2015-10-20 15:22:58,FALSE,"https://t.co/i4BdIc9SvZ","https://multivariatepolynomial.xyz/",,"https://pbs.twimg.com/profile_banners/3959357353/1550772834","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/836020069964509186/VKJ9XdXo_normal.jpg"
"x3959357353","x1439357760252964867",2021-09-18 22:36:46,"onoforpono","Absolutely loving @eastwardgame Can’t get enough of the characters, music and Earth Born (a game within the game)!
But what truly sold me is the controller rumble while riding the train. This is the immersive gameplay experience I was looking for.","Twitter for iPhone",247,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x4437884179","eastwardgame","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/onoforpono/status/1439357760252964867","pono ♥","Oregon, Earth, USA, Local Fluff, Local Bubble,
Orion–Cygnus Arm, Milky Way, Universe","Daniel Pono Takamori (he/him); ♥💐🌷🏵🌹🌺🌻💻🍄🍆🍙🥚🥒🍳","https://t.co/i4BdIc9SvZ",FALSE,276,3815,9,931,7047,2015-10-20 15:22:58,FALSE,"https://t.co/i4BdIc9SvZ","https://multivariatepolynomial.xyz/",,"https://pbs.twimg.com/profile_banners/3959357353/1550772834","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/836020069964509186/VKJ9XdXo_normal.jpg"
"x3959357353","x1439335989520916481",2021-09-18 21:10:16,"onoforpono","hell yeah i love self driving cars https://t.co/HOr9bqcJ7u","Twitter for iPhone",70,,,,FALSE,TRUE,0,2949,,,,,,,,"http://pbs.twimg.com/media/E_bB5oQXEAIbhhB.jpg","https://t.co/HOr9bqcJ7u","https://twitter.com/exchgr/status/1438550329252061187/photo/1","photo","http://pbs.twimg.com/media/E_bB5oQXEAIbhhB.jpg","https://t.co/HOr9bqcJ7u","https://twitter.com/exchgr/status/1438550329252061187/photo/1",,"x57234102","exchgr","en",,,,,,,,,,,,,,,,"x1438550329252061187","hell yeah i love self driving cars https://t.co/HOr9bqcJ7u",2021-09-16 17:08:20,"Twitter for iPhone",27691,2949,"x57234102","exchgr","elle mundy",983,1524,35007,"brooklyn","🍅🎸🚲📷📖✏️👩🏻‍🍳 ♛ 🖥 • move slow and fix things • same handle on soundcloud + instagram • i will take your picture for money",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/onoforpono/status/1439335989520916481","pono ♥","Oregon, Earth, USA, Local Fluff, Local Bubble,
Orion–Cygnus Arm, Milky Way, Universe","Daniel Pono Takamori (he/him); ♥💐🌷🏵🌹🌺🌻💻🍄🍆🍙🥚🥒🍳","https://t.co/i4BdIc9SvZ",FALSE,276,3815,9,931,7047,2015-10-20 15:22:58,FALSE,"https://t.co/i4BdIc9SvZ","https://multivariatepolynomial.xyz/",,"https://pbs.twimg.com/profile_banners/3959357353/1550772834","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/836020069964509186/VKJ9XdXo_normal.jpg"
"x3959357353","x1436929142059012097",2021-09-12 05:46:18,"onoforpono","Electric vehicle credit: 
- up to $7500
- any household making less $400k, some up to $800k
- no limit on vehicle price

Ebike credit:
- up to $1500 
- only available to households making up to $75k
- only 15% of sale price can be claimed.

Why do we do this?!?! https://t.co/qqQg7icjd1","Twitter for iPhone",140,,,,FALSE,TRUE,0,313,,,,,,,,,,,,,,,,"x139851727","pickovven","en",,,,,,,,,,,,,,,,"x1436708225613586432","Electric vehicle credit: 
- up to $7500
- any household making less $400k, some up to $800k
- no limit on vehicle price

Ebike credit:
- up to $1500 
- only available to households making up to $75k
- only 15% of sale price can be claimed.

Why do we do this?!?! https://t.co/qqQg7icjd1",2021-09-11 15:08:28,"Twitter Web App",1509,313,"x139851727","pickovven","Owen Pickford",1231,453,12598,"Seattle, WA","Build better cities. (he/him)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/onoforpono/status/1436929142059012097","pono ♥","Oregon, Earth, USA, Local Fluff, Local Bubble,
Orion–Cygnus Arm, Milky Way, Universe","Daniel Pono Takamori (he/him); ♥💐🌷🏵🌹🌺🌻💻🍄🍆🍙🥚🥒🍳","https://t.co/i4BdIc9SvZ",FALSE,276,3815,9,931,7047,2015-10-20 15:22:58,FALSE,"https://t.co/i4BdIc9SvZ","https://multivariatepolynomial.xyz/",,"https://pbs.twimg.com/profile_banners/3959357353/1550772834","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/836020069964509186/VKJ9XdXo_normal.jpg"
"x3959357353","x1436926370030907397",2021-09-12 05:35:18,"onoforpono","excuse me ??? https://t.co/RstCOJ4tlj","Twitter for iPhone",54,,,,FALSE,TRUE,0,1,,,,,,,,"http://pbs.twimg.com/media/E_DQZLuXIAIcyyQ.jpg","https://t.co/RstCOJ4tlj","https://twitter.com/AnnaGHughes/status/1436877414345367558/photo/1","photo","http://pbs.twimg.com/media/E_DQZLuXIAIcyyQ.jpg","https://t.co/RstCOJ4tlj","https://twitter.com/AnnaGHughes/status/1436877414345367558/photo/1",,"x794981505504161793","AnnaGHughes","en",,,,,,,,,,,,,,,,"x1436877414345367558","excuse me ??? https://t.co/RstCOJ4tlj",2021-09-12 02:20:46,"Twitter for Android",118,1,"x794981505504161793","AnnaGHughes","Dr. Anna Hughes 🍂",33499,870,10489,"Vancouver, British Columbia","Astrophysics PhD working in quantum computing. Snowboarder, violinist, & prog enthusiast | She and her",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/onoforpono/status/1436926370030907397","pono ♥","Oregon, Earth, USA, Local Fluff, Local Bubble,
Orion–Cygnus Arm, Milky Way, Universe","Daniel Pono Takamori (he/him); ♥💐🌷🏵🌹🌺🌻💻🍄🍆🍙🥚🥒🍳","https://t.co/i4BdIc9SvZ",FALSE,276,3815,9,931,7047,2015-10-20 15:22:58,FALSE,"https://t.co/i4BdIc9SvZ","https://multivariatepolynomial.xyz/",,"https://pbs.twimg.com/profile_banners/3959357353/1550772834","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/836020069964509186/VKJ9XdXo_normal.jpg"
"x3959357353","x1436085836181762113",2021-09-09 21:55:19,"onoforpono","Great and accessible piece of writing from @meremarveling about her summer fellowship working on forest collaborative and LIDAR data for @NationalForests https://t.co/kUbJuSZ7ZN","Twitter for iPhone",177,,,,FALSE,FALSE,4,0,,,,,"nationalforests.org/blog/from-poli…","https://t.co/kUbJuSZ7ZN","https://www.nationalforests.org/blog/from-policy-to-action-an-inside-look-at-shared-stewardship-in-northern-california",,,,,,,,,"x250495445 x24233902","meremarveling NationalForests","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/onoforpono/status/1436085836181762113","pono ♥","Oregon, Earth, USA, Local Fluff, Local Bubble,
Orion–Cygnus Arm, Milky Way, Universe","Daniel Pono Takamori (he/him); ♥💐🌷🏵🌹🌺🌻💻🍄🍆🍙🥚🥒🍳","https://t.co/i4BdIc9SvZ",FALSE,276,3815,9,931,7047,2015-10-20 15:22:58,FALSE,"https://t.co/i4BdIc9SvZ","https://multivariatepolynomial.xyz/",,"https://pbs.twimg.com/profile_banners/3959357353/1550772834","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/836020069964509186/VKJ9XdXo_normal.jpg"
"x3959357353","x1435114182190329856",2021-09-07 05:34:18,"onoforpono","I heard you guys like unique characters? https://t.co/xrw5AdOrnt","Twitter for iPhone",83,,,,FALSE,TRUE,0,2364,,,,,,,,"http://pbs.twimg.com/tweet_video_thumb/E-hVZ07XIAIgbgv.jpg","https://t.co/xrw5AdOrnt","https://twitter.com/Defacedstudio/status/1434491196412465161/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/E-hVZ07XIAIgbgv.jpg","https://t.co/xrw5AdOrnt","https://twitter.com/Defacedstudio/status/1434491196412465161/photo/1",,"x1133342857140547584","Defacedstudio","en",,,,,,,,,,,,,,,,"x1434491196412465161","I heard you guys like unique characters? https://t.co/xrw5AdOrnt",2021-09-05 12:18:47,"Twitter Web App",21063,2364,"x1133342857140547584","Defacedstudio","Defaced",30218,1547,22510,"","I work with shapes all day ⚒",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/onoforpono/status/1435114182190329856","pono ♥","Oregon, Earth, USA, Local Fluff, Local Bubble,
Orion–Cygnus Arm, Milky Way, Universe","Daniel Pono Takamori (he/him); ♥💐🌷🏵🌹🌺🌻💻🍄🍆🍙🥚🥒🍳","https://t.co/i4BdIc9SvZ",FALSE,276,3815,9,931,7047,2015-10-20 15:22:58,FALSE,"https://t.co/i4BdIc9SvZ","https://multivariatepolynomial.xyz/",,"https://pbs.twimg.com/profile_banners/3959357353/1550772834","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/836020069964509186/VKJ9XdXo_normal.jpg"
"x3959357353","x1434008699224293383",2021-09-04 04:21:31,"onoforpono","Wanna know what’s plant based? Beef, it starts with grass.","Twitter for iPhone",58,,,,FALSE,FALSE,6,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/onoforpono/status/1434008699224293383","pono ♥","Oregon, Earth, USA, Local Fluff, Local Bubble,
Orion–Cygnus Arm, Milky Way, Universe","Daniel Pono Takamori (he/him); ♥💐🌷🏵🌹🌺🌻💻🍄🍆🍙🥚🥒🍳","https://t.co/i4BdIc9SvZ",FALSE,276,3815,9,931,7047,2015-10-20 15:22:58,FALSE,"https://t.co/i4BdIc9SvZ","https://multivariatepolynomial.xyz/",,"https://pbs.twimg.com/profile_banners/3959357353/1550772834","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/836020069964509186/VKJ9XdXo_normal.jpg"
"x3959357353","x1433139771123982337",2021-09-01 18:48:42,"onoforpono","@CedarWarman Powering a cheap android phone off USB and tethering sounds like it would work, but I don't know about the reliability of the network it creates. You might also run into automation issues with reconnecting.
There are https://t.co/oEzENtJUhw which I know people use for sensors","Twitter Web App",276,"x1433138764604317702","x3959357353","onoforpono",FALSE,FALSE,2,0,,,,,"particle.io/lte/","https://t.co/oEzENtJUhw","https://www.particle.io/lte/",,,,,,,,,"x1174803106904735744","CedarWarman","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/onoforpono/status/1433139771123982337","pono ♥","Oregon, Earth, USA, Local Fluff, Local Bubble,
Orion–Cygnus Arm, Milky Way, Universe","Daniel Pono Takamori (he/him); ♥💐🌷🏵🌹🌺🌻💻🍄🍆🍙🥚🥒🍳","https://t.co/i4BdIc9SvZ",FALSE,276,3815,9,931,7047,2015-10-20 15:22:58,FALSE,"https://t.co/i4BdIc9SvZ","https://multivariatepolynomial.xyz/",,"https://pbs.twimg.com/profile_banners/3959357353/1550772834","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/836020069964509186/VKJ9XdXo_normal.jpg"
"x3959357353","x1433138764604317702",2021-09-01 18:44:42,"onoforpono","@CedarWarman Zigbee is a popular way to get data off sensors, but you still run into the problem of creating a mesh that can reach WiFi. There is also more esoteric options like ethernet over powerline: https://t.co/YtDnDHkVS5","Twitter Web App",213,"x1433115522128769025","x1174803106904735744","CedarWarman",FALSE,FALSE,2,0,,,,,"en.wikipedia.org/wiki/Power-lin…","https://t.co/YtDnDHkVS5","https://en.wikipedia.org/wiki/Power-line_communication#High-frequency_(%E2%89%A5_1_MHz)",,,,,,,,,"x1174803106904735744","CedarWarman","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/onoforpono/status/1433138764604317702","pono ♥","Oregon, Earth, USA, Local Fluff, Local Bubble,
Orion–Cygnus Arm, Milky Way, Universe","Daniel Pono Takamori (he/him); ♥💐🌷🏵🌹🌺🌻💻🍄🍆🍙🥚🥒🍳","https://t.co/i4BdIc9SvZ",FALSE,276,3815,9,931,7047,2015-10-20 15:22:58,FALSE,"https://t.co/i4BdIc9SvZ","https://multivariatepolynomial.xyz/",,"https://pbs.twimg.com/profile_banners/3959357353/1550772834","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/836020069964509186/VKJ9XdXo_normal.jpg"
